condition,game,winner,half_moves
random_vs_random,1,draw,200
random_vs_random,2,fox,113
random_vs_random,3,hounds,20
random_vs_random,4,hounds,24
random_vs_random,5,fox,161
random_vs_random,6,fox,69
random_vs_random,7,fox,37
random_vs_random,8,fox,37
random_vs_random,9,fox,49
random_vs_random,10,fox,173
random_vs_random,11,fox,85
random_vs_random,12,fox,49
random_vs_random,13,fox,73
random_vs_random,14,draw,200
random_vs_random,15,hounds,30
random_vs_random,16,fox,77
random_vs_random,17,draw,200
random_vs_random,18,draw,200
random_vs_random,19,draw,200
random_vs_random,20,fox,141
random_vs_random,21,fox,69
random_vs_random,22,fox,89
random_vs_random,23,fox,37
random_vs_random,24,fox,105
random_vs_random,25,hounds,22
random_vs_random,26,draw,200
random_vs_random,27,draw,200
random_vs_random,28,fox,73
random_vs_random,29,hounds,20
random_vs_random,30,fox,33
random_vs_random,31,draw,200
random_vs_random,32,fox,25
random_vs_random,33,fox,125
random_vs_random,34,hounds,24
random_vs_random,35,fox,85
random_vs_random,36,draw,200
random_vs_random,37,draw,200
random_vs_random,38,hounds,30
random_vs_random,39,fox,41
random_vs_random,40,hounds,20
random_vs_random,41,hounds,20
random_vs_random,42,fox,69
random_vs_random,43,fox,157
random_vs_random,44,fox,49
random_vs_random,45,fox,89
random_vs_random,46,hounds,26
random_vs_random,47,hounds,20
random_vs_random,48,fox,97
random_vs_random,49,fox,129
random_vs_random,50,fox,29
random_vs_random,51,fox,73
random_vs_random,52,fox,45
random_vs_random,53,fox,117
random_vs_random,54,fox,85
random_vs_random,55,fox,29
random_vs_random,56,hounds,28
random_vs_random,57,fox,153
random_vs_random,58,hounds,26
random_vs_random,59,draw,200
random_vs_random,60,fox,33
random_vs_random,61,fox,149
random_vs_random,62,draw,200
random_vs_random,63,fox,69
random_vs_random,64,hounds,20
random_vs_random,65,draw,200
random_vs_random,66,fox,21
random_vs_random,67,draw,200
random_vs_random,68,hounds,20
random_vs_random,69,fox,33
random_vs_random,70,fox,69
random_vs_random,71,draw,200
random_vs_random,72,draw,200
random_vs_random,73,fox,181
random_vs_random,74,hounds,26
random_vs_random,75,draw,200
random_vs_random,76,fox,165
random_vs_random,77,hounds,28
random_vs_random,78,fox,25
random_vs_random,79,hounds,12
random_vs_random,80,fox,45
random_vs_random,81,fox,25
random_vs_random,82,draw,200
random_vs_random,83,fox,81
random_vs_random,84,hounds,28
random_vs_random,85,fox,69
random_vs_random,86,hounds,22
random_vs_random,87,fox,173
random_vs_random,88,fox,53
random_vs_random,89,fox,161
random_vs_random,90,hounds,30
random_vs_random,91,hounds,28
random_vs_random,92,hounds,16
random_vs_random,93,fox,85
random_vs_random,94,hounds,30
random_vs_random,95,draw,200
random_vs_random,96,draw,200
random_vs_random,97,fox,81
random_vs_random,98,fox,93
random_vs_random,99,fox,117
random_vs_random,100,fox,49
fox_ai_vs_random,1,fox,25
fox_ai_vs_random,2,fox,33
fox_ai_vs_random,3,fox,33
